Season,DayNum,outcome,TeamID,Score,NumOT,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF
2003,10,1,1104,68,0,27,58,3,14,11,18,14,24,13,23,7,1,22
2003,10,1,1272,70,0,26,62,8,20,10,19,15,28,16,13,4,4,18
2003,11,1,1266,73,0,24,58,8,18,17,29,17,26,15,10,5,2,25
2003,11,1,1296,56,0,18,38,3,9,17,31,6,19,11,12,14,2,18
2003,11,1,1400,77,0,30,61,6,14,11,13,17,22,12,14,4,4,20
2003,11,1,1458,81,0,26,57,6,12,23,27,12,24,12,9,9,3,18
2003,12,1,1161,80,0,23,55,2,8,32,39,13,18,14,17,11,1,25
2003,12,1,1186,75,0,28,62,4,14,15,21,13,35,19,19,7,2,21
2003,12,1,1194,71,0,28,58,5,11,10,18,9,22,9,17,9,2,23
2003,12,1,1458,84,0,32,67,5,17,15,19,14,22,11,6,12,0,13
2003,13,1,1166,106,0,41,69,15,25,9,13,15,29,21,11,10,6,16
2003,13,1,1202,74,0,29,51,7,13,9,11,6,21,18,15,7,1,5
2003,13,1,1237,66,0,26,66,5,19,9,13,21,23,15,17,12,3,17
2003,13,1,1323,76,0,25,56,10,23,16,23,8,35,18,13,14,19,13
2003,14,1,1125,83,1,30,70,11,31,12,15,15,18,22,16,18,5,21
2003,14,1,1156,78,0,27,46,10,18,14,24,8,25,18,15,2,6,18
2003,14,1,1161,81,0,22,48,5,12,32,43,16,32,13,24,5,3,19
2003,14,1,1166,82,0,33,61,8,19,8,14,9,23,21,17,14,5,18
2003,14,1,1183,73,0,29,59,9,19,6,8,8,21,17,15,10,1,19
2003,14,1,1314,85,0,32,60,5,15,16,23,12,34,18,14,8,4,12
2003,14,1,1323,89,0,34,62,8,16,13,21,12,34,25,11,9,13,16
2003,14,1,1353,60,0,23,57,4,19,10,15,15,18,10,12,14,6,18
2003,14,1,1390,61,0,20,53,6,27,15,24,15,24,9,14,4,2,17
2003,14,1,1426,59,0,25,53,1,5,8,12,15,32,14,16,6,4,7
2003,14,1,1462,87,0,35,70,6,19,11,16,17,27,18,7,13,3,10
2003,15,1,1161,77,0,27,58,5,10,18,27,18,26,15,12,5,4,21
2003,15,1,1194,93,2,33,75,9,20,18,33,17,26,14,14,17,0,21
2003,15,1,1196,76,0,28,48,4,13,16,24,8,23,18,18,13,5,19
2003,15,1,1242,81,0,28,53,3,5,22,37,13,29,12,19,10,3,21
2003,15,1,1422,84,0,33,53,3,8,15,20,7,36,12,22,5,9,19
2003,16,1,1314,71,0,27,57,5,14,12,19,14,30,19,20,8,5,13
2003,16,1,1390,63,0,23,57,6,15,11,21,17,20,12,10,8,1,19
2003,17,1,1196,99,0,39,73,11,28,10,22,16,31,32,14,10,14,19
2003,17,1,1304,68,0,27,58,6,18,8,13,10,28,13,17,5,5,26
2003,18,1,1104,82,0,24,49,10,20,24,34,12,26,13,13,7,3,14
2003,18,1,1113,59,0,22,54,1,12,14,25,13,27,12,15,6,5,15
2003,18,1,1116,81,0,25,65,4,18,27,48,29,48,12,27,11,8,29
2003,18,1,1117,83,0,30,72,7,19,16,20,24,17,12,12,8,3,14
2003,18,1,1120,81,0,32,54,3,11,14,23,9,27,14,19,13,9,15
2003,18,1,1122,81,1,29,70,11,24,12,17,13,27,19,13,6,5,27
2003,18,1,1123,72,0,24,52,7,19,17,22,11,21,11,14,2,3,16
2003,18,1,1133,95,1,34,79,5,24,22,34,19,40,17,15,7,1,21
2003,18,1,1139,69,0,27,53,10,24,5,9,4,22,22,12,7,0,18
2003,18,1,1140,71,0,21,49,8,13,21,27,10,25,12,17,6,1,25
2003,18,1,1141,61,0,21,50,2,12,17,24,9,25,6,18,4,3,20
2003,18,1,1148,77,0,29,61,6,14,13,17,17,23,12,15,3,2,11
2003,18,1,1150,89,0,31,66,11,27,16,27,13,20,16,10,23,4,20
2003,18,1,1151,68,0,23,47,4,14,18,26,14,24,13,14,0,4,10
2003,18,1,1157,77,0,27,63,3,11,20,23,19,19,13,11,6,1,19
2003,18,1,1158,84,0,30,60,9,18,15,22,10,21,14,16,7,1,22
2003,18,1,1160,97,0,38,68,6,14,15,19,16,30,21,14,7,7,11
2003,18,1,1165,78,0,30,50,5,11,13,23,10,28,20,16,5,0,19
2003,18,1,1179,74,0,20,51,6,18,28,38,12,27,14,18,10,4,17
2003,18,1,1187,65,0,22,49,4,13,17,25,9,27,13,16,5,4,20
2003,18,1,1191,73,0,22,48,5,12,24,30,8,24,19,17,5,3,22
2003,18,1,1200,79,0,27,55,12,22,13,23,10,23,14,16,11,4,18
2003,18,1,1207,99,0,39,70,7,13,14,22,14,39,24,17,15,8,11
2003,18,1,1211,69,0,23,57,5,20,18,28,12,26,19,14,7,3,14
2003,18,1,1217,69,0,27,52,4,10,11,17,8,28,15,21,5,3,22
2003,18,1,1218,81,0,29,59,8,18,15,28,10,23,21,11,6,4,21
2003,18,1,1219,70,0,28,57,4,11,10,14,9,29,13,20,11,0,16
2003,18,1,1232,63,0,20,52,5,12,18,27,14,21,15,18,12,2,18
2003,18,1,1241,68,0,28,57,4,16,8,12,10,23,13,13,3,9,23
2003,18,1,1242,105,0,39,71,5,18,22,33,19,26,21,11,16,4,10
2003,18,1,1247,73,0,25,61,4,18,19,25,12,29,16,19,16,6,19
